# Kizunama — nomi EN/IT da validare (tier 1)
# Correggi la colonna katakana, poi rimanda il file o il contenuto.
# Per eliminare: katakana = DELETE | Per aggiungere: nuova riga name<TAB>katakana<TAB>lang
# source: validated = già in nameKatakanaDict | conventional = ENAMDICT | proposed = da confermare
# Totale: 541 EN + 323 IT = 864
#
# === English ===
name	katakana	lang	source
sergio	セルジオ	it	validated
silvano	シルヴァーノ	it	validated
silvestro	シルヴェストロ	it	validated
silvia	シルビア	it	validated
silvio	シルヴィオ	it	validated
simona	シモーナ	it	validated
simone	シモーネ	it	validated
sonia	ソニア	it	validated
stefania	ステファニア	it	validated
stefano	ステファノ	it	validated
susanna	スザンナ	it	validated
taddeo	タッデオ	it	validated
tania	タニア	it	validated
tatiana	タチアナ	it	validated
tea	テア	it	validated
teodoro	テオドーロ	it	validated
teresa	テレーザ	it	validated
tiberio	ティベリオ	it	validated
tito	ティート	it	validated
tiziana	ティツィアーナ	it	validated
tiziano	ティツィアーノ	it	validated
tommaso	トンマーゾ	it	validated
tullio	トゥッリオ	it	validated
ugo	ウーゴ	it	validated
umberto	ウンベルト	it	validated
valentina	ヴァレンティーナ	it	validated
valentino	ヴァレンティノ	it	validated
valerio	ヴァレリオ	it	validated
vanessa	ヴァネッサ	it	validated
vera	ヴェーラ	it	validated
veronica	ヴェロニカ	it	validated
vincenzo	ヴィンチェンツォ	it	validated
viola	ヴィオラ	it	validated
virginia	ヴィルジニア	it	validated
vito	ヴィート	it	validated
vittoria	ヴィットーリア	it	validated
vittorio	ヴィットーリオ	it	validated
zoe	ゾエ	it	validated
